,dates,MGVR_1,MGVR_2,MGVR_3,MGVR_4,MGVR_5,MGVR_6,MGVR_7,MGVR_8,MGVR_9,MGVR_10
1654,2020-10-07 10:27:01+00:00,235.4243074874473,251.45296330012295,294.26809962164884,269.64132379391515,281.7714493823208,311.4174799322883,359.0273618872984,360.8653540980019,394.4000333689689,430.5217896113944
1655,2020-10-08 11:21:02+00:00,243.08939745856296,258.70939048102,302.0691403608207,279.5587294447123,293.18924657878387,316.61294146265436,359.38608180511847,371.0318112132898,409.41310732174236,443.24590833202586
1656,2020-10-11 11:30:58+00:00,240.30177238468647,256.3046040346443,296.1524391349884,270.7949462701791,257.05212568907655,278.52634332010285,329.7008432246891,353.26832438675467,382.2400381227453,407.61502146887466
1657,2020-10-13 11:21:04+00:00,215.11405147404818,226.08641224440728,262.69718002069203,237.7020043826823,234.84264908762285,257.41301107860295,311.99261001355296,333.53217795102313,351.53830465889246,387.95885574569644
1658,2020-10-14 10:32:45+00:00,222.97520422669993,224.18210485820225,,,,,,,,411.792590038449
1659,2020-10-15 11:02:53+00:00,,,,,,,,352.95667965825965,353.48367928821057,391.91236281983413
1660,2020-10-16 11:31:00+00:00,226.63779682046854,240.55229561694603,284.1045844366887,252.96342358343628,244.97806421255495,267.06488399645167,318.6238067457608,339.4438467032046,358.0365153800112,391.36911507152087
1661,2020-10-18 11:21:02+00:00,245.88382295723076,261.88658254529537,301.69107909415186,275.5575953172141,279.89478512452854,315.2575065986989,347.8909997252039,361.8285672348024,397.7727061499227,434.0153348508629
1662,2020-10-21 11:30:58+00:00,215.76139983183816,224.6359250802589,264.0831096325768,242.63044009188047,249.9720534846106,271.75618874710403,333.39458332398544,341.6839969948498,366.9025313075051,413.6484080159703
1663,2020-10-22 11:09:04+00:00,200.87065719317619,213.57924288862424,249.00741705840915,227.30312595807473,231.3999213932513,252.8259260998662,314.26135576275345,329.4594551669553,347.2695392962649,389.03953063364696
1664,2020-10-23 10:25:59+00:00,,,,,,,,,,
1665,2020-10-23 11:21:03+00:00,218.88954888043816,238.72761359056827,273.9845642347061,247.35665583302034,252.54867988553747,274.5593692912438,332.11666356828476,346.0453973449422,368.46438423175863,403.70393003987897
1666,2020-10-26 11:30:59+00:00,199.01770610841123,214.43378149712117,255.55107527014962,226.3947752795239,224.53701343568576,243.74734812365315,311.443039092776,324.65411566172696,340.59765399251665,374.4841206308941
1667,2020-10-30 10:31:42+00:00,211.7307639706835,232.59342976298356,268.90768685572823,236.1308909888144,238.6141821846728,258.55961408458916,314.44096664637334,333.4952815543424,353.40106099229195,389.6570644632021
1668,2020-10-31 11:02:52+00:00,,,,,,,,,,406.26662668609805
